Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
South Carolina,US,2020-04-13 23:07:54,33.8569,-80.945,3391,82,,3309.0,45.0,67.2820797722211,31425.0,496.0,2.4181657328221764,84000045.0,USA,623.514997594234,14.626953700973164
South Dakota,US,2020-04-13 23:07:54,44.2998,-99.4388,868,6,207.0,862.0,46.0,117.95209079593201,9002.0,44.0,0.6912442396313364,84000046.0,USA,1223.2773287384562,5.0691244239631335
Tennessee,US,2020-04-13 23:07:54,35.7478,-86.6923,5610,109,1671.0,5501.0,47.0,85.45408488043054,76195.0,579.0,1.9429590017825311,84000047.0,USA,1160.6370761968635,10.320855614973262
Texas,US,2020-04-13 23:07:54,31.0545,-97.5635,14275,305,2269.0,13970.0,48.0,62.106907327923295,133226.0,1176.0,2.136602451838879,84000048.0,USA,579.6325629190828,8.238178633975481
Utah,US,2020-04-13 23:07:54,40.15,-111.8624,2363,13,218.0,2350.0,49.0,82.45280161569806,45787.0,201.0,0.5501481168006771,84000049.0,USA,1597.6582427329529,8.506136267456624
Vermont,US,2020-04-13 23:07:54,44.0459,-72.7107,748,28,15.0,720.0,50.0,122.50426226393772,10366.0,33.0,3.7433155080213902,84000050.0,USA,1697.699442016014,4.411764705882354
Virgin Islands,US,2020-04-13 23:07:54,18.3358,-64.8963,51,1,43.0,50.0,78.0,47.5444680613044,373.0,,1.96078431372549,850.0,VIR,347.7271879777754,
Virginia,US,2020-04-13 23:07:54,37.7693,-78.17,5747,149,,5598.0,51.0,72.68031915095425,41401.0,1238.0,2.592657038454846,84000051.0,USA,523.5841122618161,21.541673916826173
Washington,US,2020-04-13 23:07:54,47.4009,-121.4905,10635,513,,10122.0,53.0,140.8720663077597,93802.0,527.0,4.823695345557122,84000053.0,USA,1242.5088447391138,4.955336154207805
West Virginia,US,2020-04-13 23:07:54,38.4912,-80.9545,611,8,85.0,603.0,54.0,46.18298742704071,16655.0,164.0,1.3093289689034369,84000054.0,USA,1258.8832333835726,26.84124386252045
Wisconsin,US,2020-04-13 23:07:54,44.2685,-89.6165,3428,154,,3274.0,55.0,66.24703767713304,40197.0,993.0,4.492415402567095,84000055.0,USA,776.8180202764635,28.96732788798133
Wyoming,US,2020-04-13 23:07:54,42.756,-107.3025,275,1,138.0,274.0,56.0,55.30528517416137,5964.0,41.0,0.3636363636363637,84000056.0,USA,1199.4208028316307,14.909090909090908
Recovered,US,,,,0,0,43482.0,-43482.0,,,,,,84070001.0,USA,,
Alabama,US,2020-04-14 23:33:31,32.3182,-86.9023,3953,114,,3839.0,1.0,84.30554137,33117.0,493.0,2.8838856560000004,84000001.0,USA,706.2855081,12.4715406
Alaska,US,2020-04-14 23:33:31,61.3707,-152.4044,285,9,98.0,276.0,2.0,47.67887525,8348.0,32.0,3.157894737,84000002.0,USA,1396.572809,11.22807018
American Samoa,US,,-14.270999999999999,-170.132,0,0,,,60.0,0.0,3.0,,,16.0,ASM,5.391707554,
Arizona,US,2020-04-14 23:33:31,33.7298,-111.4312,3809,131,249.0,3678.0,4.0,52.33065113,44096.0,580.0,3.439222893,84000004.0,USA,605.8210534,15.22709373
Arkansas,US,2020-04-14 23:33:31,34.9697,-92.3731,1498,32,427.0,1466.0,5.0,57.85957427,21131.0,130.0,2.136181575,84000005.0,USA,816.1753431,8.67823765
